Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

ITEM 1—BUSINESS
Texas Roadhouse, Inc. (collectively, the "Company," "we," "our" and/or "us") was incorporated under the laws of the state of Delaware in 2004. The principal executive office is located in Louisville, Kentucky.
Introduction
The Company is a growing restaurant company operating predominately in the casual dining segment. Our late founder, W. Kent Taylor, started the business in 1993 with the opening of the first Texas Roadhouse restaurant in Clarksville, Indiana. Since then, we have grown to three concepts with 697 restaurants in 49 states and ten foreign countries. Our mission statement is "Legendary Food, Legendary Service®." Our operating strategy is designed to position each of our casual dining restaurants as the local hometown favorite for a broad segment of consumers seeking high quality, affordable meals served with friendly, attentive service. As of December 27, 2022, we owned and operated 597 restaurants and franchised an additional 62 domestic restaurants and 38 international restaurants. 
Restaurant Concepts
Of the 597 restaurants we owned and operated at the end of 2022, we operated 552 as Texas Roadhouse restaurants, 40 as Bubba’s 33 restaurants and five as Jaggers restaurants.
Texas Roadhouse is a moderately priced, full-service, casual dining restaurant concept offering an assortment of specially seasoned and aged steaks hand-cut daily on the premises and cooked to order over open grills. In addition to steaks, we also offer our guests a selection of ribs, seafood, chicken, pork chops, pulled pork and vegetable plates, and an assortment of hamburgers, salads and sandwiches. The majority of our entrées include two made-from-scratch side items, and we offer all our dine-in guests free roasted in-shell peanuts and fresh baked yeast rolls.
Bubba’s 33 is a family-friendly restaurant concept featuring scratch-made food for all with a little rock 'n' roll, ice-cold beer and signature drinks. Our menu features burgers, pizza and wings as well as a wide variety of appetizers, sandwiches and dinner entrées. Our first Bubba’s 33 restaurant opened in May 2013 in Fayetteville, North Carolina.
Jaggers is a fast-casual restaurant concept offering burgers, hand-breaded chicken tenders and chicken sandwiches served with scratch-made sauces. In addition, we offer fresh salads that are tossed when ordered and served with homemade dressings. Jaggers offers drive-thru, carry-out, and dine-in service options. Our first Jaggers restaurant opened in December 2014 in Noblesville, Indiana.
Throughout this report, we use the term "restaurants" to include Texas Roadhouse and Bubba’s 33, unless otherwise noted.
Segment Information
We manage our restaurant and franchising operations by concept and as a result have identified Texas Roadhouse, Bubba’s 33, Jaggers and retail initiatives (including our online store and royalty-based licensing arrangements) as separate operating segments. In addition, we have identified Texas Roadhouse and Bubba's 33 as reportable segments.
COVID-19 and Related Impacts
The Company has been subject to risks and uncertainties as a result of the COVID-19 pandemic (the "pandemic"). These include federal, state and local restrictions on restaurants, some of which limited capacity or seating in dining rooms while others allowed to-go or curbside service only. In 2022, all of our domestic company and franchise restaurants operated without restriction. We also experienced and expect to continue to experience commodity inflation and certain food and supply shortages as well as a more competitive labor market. To the extent these challenges persist, we will continue to experience increased costs. 

5




Operating Strategy
The operating strategy that underlies the growth of our restaurants is built on the following key components:

● | Offering high quality, freshly prepared food. We place a great deal of emphasis on providing our guests with high quality, freshly prepared food. As part of our process, we have developed proprietary recipes to provide consistency in quality and taste throughout all restaurants. We expect a management level employee to inspect every entrée before it leaves the kitchen to confirm it matches the guest’s order and meets our standards for quality, portion size, appearance and presentation. In addition, we employ a team of product coaches whose function is to provide continual, hands-on training and education to our kitchen staff for the purpose of promoting consistent adherence to recipes, food preparation procedures, food safety standards and overall food quality. 
--+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


● | Creating a fun and comfortable atmosphere with a focus on high quality service. We believe the service quality and atmosphere we establish in our restaurants is a key component for fostering repeat business. We focus on keeping our table-to-server ratios low to allow our servers to truly focus on their guests and serve their needs in a personal, individualized manner. Our Texas Roadhouse restaurants feature a rustic southwestern lodge décor accentuated with hand-painted murals, neon signs, and southwestern prints, rugs and artifacts. Additionally, our restaurants continuously play upbeat country hits. Our Bubba’s 33 restaurants feature walls lined with televisions playing sporting events and music videos and are decorated with sports jerseys, neon signs and other local flair. 
--+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


● | Offering performance-based manager compensation. We offer a performance-based compensation program to our individual restaurant managers and multi-restaurant operators, who are called "managing partners" and "market partners," respectively. Each of these partners earns a base salary plus a performance bonus, which represents a percentage of each of their respective restaurant’s pre-tax income. By providing our partners with a significant stake in the success of our restaurants, we believe that we are able to attract and retain talented, experienced and highly motivated managing and market partners. 
--+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


● | Offering attractive price points. When we evaluate menu pricing, we focus on remaining disciplined as we balance short-term pressures with long-term growth while always keeping our guest top of mind. Prices are reviewed individually in each local market and are offered at moderate price points that we believe are as low as or lower than those offered by our competitors without sacrificing food quality. Within each menu category, we offer a choice of several price points with the goal of fulfilling each guest’s budget and value expectations. Based on the results of our pricing evaluations, we will continue to take pricing actions as we feel are needed. 
--+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


● | Focusing on dinner. In nearly all of our Texas Roadhouse restaurants, we limit our operating hours to dinner only during the weekdays with approximately one half of our restaurants offering lunch on Friday. This focus on dinner allows our restaurant teams to prepare for and manage only one shift per day during the week and to prepare for the significant volumes of sales our restaurants generate. 
--+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Restaurant Development and Unit Economics
We consistently evaluate opportunities to develop restaurants in new and existing markets. Our site selection process is critical to our growth strategy. In analyzing each prospective site, our real estate team and our restaurant market partners devote significant time and resources to the evaluation of local market demographics, population density, household income levels and site-specific characteristics such as visibility, accessibility, traffic generators, proximity of other retail activities and competitors, traffic counts and parking. We work actively with experienced real estate brokers in target markets to select high quality sites and to maintain and regularly update our database of potential sites. 
We design our restaurant prototypes to provide a relaxed atmosphere for our guests, while also focusing on restaurant-level returns over time. Our current prototypical Texas Roadhouse restaurant consists of a freestanding building with approximately 7,600 to 8,400 square feet with seating for approximately 270 to 325 guests and parking for approximately 180 vehicles either on-site or in combination with some form of off-site cross parking arrangement. Our current prototypes are adaptable to in-line and end-cap locations and/or spaces within an enclosed mall or a shopping center. 

6




Our current prototypical Bubba’s 33 restaurant consists of a freestanding building with approximately 7,600 square feet with seating for approximately 270 to 330 guests. Some locations include patio seating for approximately 60 guests. Parking is targeted for approximately 180 vehicles either on-site or in combination with some form of off-site cross parking arrangement. 
Our capital investment (including cash and non-cash costs) for new restaurants varies significantly depending on a number of factors including, but not limited to: the concept, square footage, layout, scope of required site work, geographical location, supply chain costs, type of construction labor (union or non-union), local permitting requirements, our ability to negotiate with landowners and/or landlords, cost of liquor and other licenses and pre-opening expense.
For 2022 and 2021, our average capital investment for Texas Roadhouse restaurants, which includes a 10x initial base rent factor in the event the land is leased, was $6.9 million and $5.7 million, respectively. The increase in our 2022 average capital investment was primarily due to a larger building prototype and higher supply costs. We expect our average capital investment for restaurants to be opened in 2023 to remain flat at approximately $6.9 million with lower site costs offset by higher rent expense. 
For 2022 and 2021, our average capital investment for Bubba’s 33 restaurants, which includes a 10x initial base rent factor in the event the land is leased, was $7.8 million and $7.4 million, respectively. The increase in our 2022 average capital investment was primarily due to higher supply costs. We expect our average capital investment for restaurants to be opened in 2023 to decrease to approximately $7.4 million due to lower site costs. 

7




Existing Restaurant Locations
As of December 27, 2022, we had 597 company restaurants and 100 franchise restaurants in 49 states and ten foreign countries as shown in the chart below.

​ | ​ | ​ | ​ | ​ | ​ | ​ | ​
--------------------------------+---+-----------------------+---+-----------+---+-------+--
​ | ​ | Number of Restaurants | 
​ | | Company | | Franchise | | Total | 
Alabama | | 9 | | — | | 9 | ​
Alaska | | 2 | | — | | 2 | ​
Arizona | | 20 | | — | | 20 | ​
Arkansas | | 8 | | — | | 8 | ​
California | | 6 | | 10 | | 16 | ​
Colorado | | 17 | | 1 | | 18 | ​
Connecticut | | 5 | | — | | 5 | ​
Delaware | | 3 | | 2 | | 5 | ​
Florida | | 44 | | — | | 44 | ​
Georgia | | 16 | | 3 | | 19 | ​
Idaho | | 6 | | — | | 6 | ​
Illinois | | 19 | | — | | 19 | ​
Indiana | | 25 | | 8 | | 33 | ​
Iowa | | 11 | | — | | 11 | ​
Kansas | | 6 | | 1 | | 7 | ​
Kentucky | | 17 | | 2 | | 19 | ​
Louisiana | | 10 | | 1 | | 11 | ​
Maine | | 3 | | — | | 3 | ​
Maryland | | 8 | | 6 | | 14 | ​
Massachusetts | | 10 | | 1 | | 11 | ​
Michigan | | 18 | | 3 | | 21 | ​
Minnesota | | 7 | | — | | 7 | ​
Mississippi | | 3 | | — | | 3 | ​
Missouri | | 18 | | — | | 18 | ​
Montana | | — | | 1 | | 1 | ​
Nebraska | | 4 | | — | | 4 | ​
Nevada | | 4 | | — | | 4 | ​
New Hampshire | | 3 | | — | | 3 | ​
New Jersey | | 10 | | — | | 10 | ​
New Mexico | | 7 | | — | | 7 | ​
New York | | 21 | | — | | 21 | ​
North Carolina | | 21 | | — | | 21 | ​
North Dakota | | 2 | | 1 | | 3 | ​
Ohio | | 35 | | 2 | | 37 | ​
Oklahoma | | 8 | | — | | 8 | ​
Oregon | | 2 | | — | | 2 | ​
Pennsylvania | | 26 | | 6 | | 32 | ​
Rhode Island | | 3 | | — | | 3 | ​
South Carolina | | 9 | | — | | 9 | ​
South Dakota | | 2 | | — | | 2 | ​
Tennessee | | 17 | | 1 | | 18 | ​
Texas | | 81 | | 5 | | 86 | ​
Utah | | 10 | | 1 | | 11 | ​
Vermont | | 1 | | — | | 1 | ​
Virginia | | 21 | | — | | 21 | ​
Washington | | 2 | | 1 | | 3 | ​
West Virginia | | 4 | | 3 | | 7 | ​
Wisconsin | | 11 | | 3 | | 14 | ​
Wyoming | | 2 | | — | | 2 | ​
Total domestic restaurants | | 597 | | 62 | | 659 | ​
Bahrain | ​ | — | ​ | 1 | ​ | 1 | ​
China | ​ | — | ​ | 1 | ​ | 1 | ​
South Korea | ​ | — | ​ | 7 | ​ | 7 | ​
Kuwait | | — | | 3 | | 3 | ​
Mexico | ​ | — | ​ | 3 | ​ | 3 | ​
Philippines | | — | | 7 | | 7 | ​
Qatar | | — | | 1 | | 1 | ​
Saudi Arabia | | — | | 5 | | 5 | ​
Taiwan | ​ | — | ​ | 5 | ​ | 5 | ​
United Arab Emirates | ​ | — | ​ | 5 | ​ | 5 | ​
Total international restaurants | | — | | 38 | | 38 | ​
Total system-wide restaurants | | 597 | | 100 | | 697 | ​

​

8




