Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing . Use only information from the following text

ITEM 1.            BUSINESS

We are a diversified television broadcasting company with national reach with a strong focus on providing high-quality content on our local television stations and digital and other platforms.  The content, distributed through our broadcast platform, consists of programming provided by third-party networks and syndicators, local news, our own networks, and other original programming produced by us.  We also distribute our original programming, and owned and operated networks, on other third-party platforms.  Additionally, we own digital and internet media products that are complementary to our extensive portfolio of television station related digital properties. We focus on offering marketing solutions to advertisers through our television and digital platforms and digital agency services. Outside of our media related businesses, we operate technical services companies focused on supply and maintenance of broadcast transmission systems as well as research and development for the advancement of broadcast technology, and we manage other non-media related investments.
Broadcast
As of December 31, 2017, our broadcast distribution platform consists primarily of our broadcast television stations. We own, provide programming and operating services pursuant to local marketing agreements (LMAs), or provide sales services and other non-programming operating services pursuant to other outsourcing agreements (such as JSAs and SSAs) to 191 stations in 89 markets. These stations broadcast 601 channels, including 242 channels affiliated with primary networks or program service providers comprised of:  FOX (59), ABC (41), CBS (30), NBC (25), CW (47), and MyNetworkTV (MNT) (40).  The other 359 channels broadcast programming from Antenna TV, Azteca, Bounce Network, CHARGE!, Comet, CoziTV, Decades, Estrella TV, Get TV, Grit, Me TV, Movies!, Stadium Network, TBD, Telemundo, This TV, Unimas, Univision, Weather, and two channels broadcasting independent programming.  For the purpose of this report, these 191 stations and 601 channels are referred to as “our” stations and channels.  Refer to our Television Markets and Stations table later in this Item 1. for more information.
Our broadcast segment provides free over-the-air programming to television viewing audiences in the communities we serve through our local television stations.  The programming that we provide on our primary channels consists of network provided programs, locally-produced news, local sporting events, programming from program service arrangements, syndicated entertainment programs, and internally originated programming provided by our other media subsidiaries. We provide live, local sporting events on many of our stations by acquiring the local television broadcast rights for these events.  
We are the nation's largest producer of local news. We produce approximately 2,400 hours of news per week at 129 stations in 84 markets, including 3 stations which produce news pursuant to a local news sharing arrangement for competitive stations in that market.  We have 20 stations which have local news sharing arrangements with a competitive station in that market that produces the news aired on our station.  
See Operating Strategy later in this Item 1. for more information regarding the news and programming we provide.

A primary source of revenue is the sale of commercial inventory on our television stations to our advertising customers.  We also earn revenues by providing digital content to non-linear devices via websites, mobile, and social media advertisements. Our objective is to meet the needs of our advertising customers by delivering significant audiences in key demographics.  Our strategy is to achieve this objective by providing quality local news programming, popular network, syndicated and live sports programs, and other original content to our viewing audience.  We attract most of our national television advertisers through national marketing representation firms which have offices in New York City, Los Angeles, Chicago, and Atlanta.  Our local television advertisers are attracted through the use of a local sales force at each of our television stations, which is comprised of approximately 800 marketing consultants and 100 local sales managers company-wide.
Another primary source of revenue is from our retransmission consent agreements through payments from MVPDs in our markets, vMVPDs and OTT distributors.  The MVPDs are local cable companies, satellite television, and local telecommunication video providers.  vMVPDS and OTT distributors are companies that provide video content through internet streaming. The revenues primarily represent payments from the MVPDs, virtual MVPDs, and OTT distributors for access to our broadcast signal and are typically based on the number of subscribers they have.  
5

Our operating results are subject to cyclical fluctuations from political advertising.  Political spending has been significantly higher in the even-number years due to the cyclicality of political elections.  In addition, every four years, political spending is typically elevated further due to the advertising related to the presidential election.  Because of the political election cyclicality, there has been a significant difference in our operating results when comparing even-numbered years’ performance to the odd numbered years’ performance.  Additionally, our operating results are impacted by the number and importance of individual political races and issues discussed on a national level as well as those within the local communities we serve.  We believe political advertising will continue to be a strong advertising category in our industry. Political advertising levels may increase further as political-activism, around social, political, economic and environmental causes, continues to draw attention and Political Action Committees (PACs), including so-called Super PACs, continue to increase spending.
Original Networks and Content
We own and operate various networks carried on distribution platforms owned by us or others including: Comet, our science fiction multicast network, which debuted in October 2015; CHARGE!, our adventure and action-based emerging network, which launched in February 2017; and TBD, the first multiscreen TV network in the U.S. market to bring premium internet-first content to TV homes across America, which launched in February 2017.
Also, during 2017, we transformed American Sports Network into Stadium, a new digital network that brings together professional sports highlights and college games. 
We also own and operate Tennis Channel (Tennis), a cable network acquired in March 2016, which includes coverage of many of tennis' top tournaments and original professional sport and tennis lifestyle shows. In 2017, Tennis expanded beyond its network business by acquiring Tennis Magazine, the sport’s largest print publication, and Tennis.com, the most visited online tennis platform in the world. 
Our internally developed content, in addition to our local news, includes Ring of Honor (ROH), our professional wrestling promotion, and Full Measure with Sharyl Attkisson (Full Measure), our national Sunday morning investigative and political analysis program.
Digital and Internet
Sinclair Digital Ventures focuses on investment in emerging digital technologies, ad tech, and digital content companies that support and expand Sinclair's digital capabilities and non-linear footprint. We earn revenues from Compulse Integrated Marketing, a full service digital agency which uses our digital expertise to help businesses run social media, search, advertising, email marketing, web design, mobile marketing and creative services, and audience extension, and navigate and compete in a world of constant innovation and changes in consumer behavior. Circa is a national digital news operation offering video-rich news and entertainment tailored for mobile devices and aimed at the younger demographic. DataSphere Technologies, acquired in June 2017, provides marketing services to small businesses across the country and works in partnership with multiple media companies, including Sinclair. NewsON is a free, ad-supported app that provides instant access to live or on-demand local news broadcasts.
Technical Services
We own subsidiaries which are dedicated to providing broadcast related technical services to the broadcast industry, including: Acrodyne Technical Services, a provider of service and support for broadcast transmitters throughout the world; Dielectric, a designer and manufacturer of broadcast systems including all components from transmitter output to antenna; and ONE Media, a technology innovator at the forefront of developing industry standards and related technologies for NextGen encompassing its flexible and enhanced vision for broadcasting. In April 2016, we launched ONE Media 3.0, a wholly-owned subsidiary whose purpose will be to develop business opportunities, products, and services associated with ATSC 3.0 "Next Generation" broadcast transmission standard and TV platform. In 2017, we and other broadcasters formed the Spectrum Consortium (Spectrum Co), a joint venture that links local consortium member television stations to form a nationwide network over which to deliver national services and create a robust video and data exchange in conjunction with NextGen. 
Other Non-media Investments
We own various non-media related investments across multiple asset classes including private equity, mezzanine financing, and real estate investments. Some of the largest investments include: Triangle Sign and Service (Triangle), a sign designer and fabricator; Bay Creek South (Bay Creek), a land developer for a planned resort community in Cape Charles, VA; and Jefferson Park, a mixed-use land development project in Frederick, MD; an investment in sustainable energy producing facilities; and a portfolio of apartment complexes.
6

We are a Maryland corporation formed in 1986.  Our principal offices are located at 10706 Beaver Dam Road, Hunt Valley, Maryland 21030.  Our telephone number is (410) 568-1500 and our website address is www.sbgi.net.  The information contained on, or accessible through, our website is not part of this annual report on Form 10-K and is not incorporated herein by reference.

Television Markets and Stations

As of December 31, 2017, we own and operate or provide programming and/or sales and other shared services to television stations in the following 89 markets:
 
Market | Market Rank (a) | Number of Channels | Stations | NetworkAffiliation (b)
Washington, DC | 6 | 4 | WJLA | ABC 
Seattle / Tacoma, WA | 12 | 6 | KOMO, KUNS | ABC 
Minneapolis / St. Paul, MN | 15 | 4 | WUCW | CW 
St. Louis, MO | 21 | 4 | KDNL | ABC 
Portland, OR | 22 | 10 | KATU, KUNP, KUNP-LD | ABC 
Pittsburgh, PA | 24 | 7 | WPGH, WPNT | FOX, MNT 
Raleigh / Durham, NC | 25 | 6 | WLFL, WRDC | CW, MNT 
Baltimore, MD | 26 | 7 | WBFF, WNUV(c) | FOX, CW, MNT 
Nashville, TN | 27 | 9 | WZTV, WUXP, WNAB(d) | FOX, CW, MNT 
Salt Lake City, UT | 30 | 9 | KUTV, KENV(d), KMYU, KJZZ | CBS, NBC, MNT, IND 
San Antonio, TX | 31 | 8 | KABB, WOAI, KMYS(d) | FOX, NBC, CW 
Columbus, OH | 34 | 9 | WSYX, WTTE(c), WWHO(d) | ABC, FOX, CW, MNT 
Cincinnati, OH | 35 | 7 | WKRC, WSTR(d) | CBS, CW, MNT 
Milwaukee, WI | 36 | 6 | WVTV, WCGV | CW, MNT 
West Palm Beach / Fort Pierce, FL | 37 | 12 | WPEC, WTVX, WTCN-CA, WWHB-CA | CBS, CW, MNT 
Asheville, NC / Greenville, SC | 38 | 8 | WLOS, WMYA(c) | ABC, MNT 
Austin, TX | 39 | 2 | KEYE | CBS 
Las Vegas, NV | 40 | 8 | KSNV, KVCW | NBC, CW, MNT 
Oklahoma City, OK | 41 | 6 | KOKH, KOCB | FOX, CW 
Grand Rapids / Kalamazoo, MI | 43 | 3 | WWMT | CBS, CW 
Birmingham / Tuscaloosa, AL | 44 | 14 | WBMA-LD, WABM, WDBB(c), WTTO | ABC, CW, MNT 
Harrisburg / Lancaster / Lebanon / York, PA | 45 | 3 | WHP | CBS, CW, MNT 
Norfolk, VA | 47 | 4 | WTVZ | MNT 
Greensboro / High Point / Winston Salem, NC | 48 | 7 | WXLV, WMYV | ABC, MNT 
Providence, RI / New Bedford, MA | 52 | 4 | WJAR | NBC 
Buffalo, NY | 53 | 7 | WUTV, WNYO | FOX, MNT 
Fresno / Visalia, CA | 54 | 12 | KMPH-CD, KMPH, KFRE | FOX, CW 
Richmond, VA | 55 | 4 | WRLH | FOX, MNT 
Wilkes Barre / Scranton, PA | 57 | 10 | WOLF(c), WSWB(d), WQMY(c) | FOX, CW, MNT 
Little Rock / Pine Bluff, AR | 58 | 4 | KATV | ABC 
Mobile, AL / Pensacola, FL | 59 | 11 | WEAR, WPMI(d), WFGX, WJTC(d) | ABC, NBC, MNT, IND 
Albany, NY | 60 | 7 | WRGB, WCWN | CBS, CW 
Tulsa, OK | 62 | 4 | KTUL | ABC 
Lexington, KY | 63 | 4 | WDKY | FOX 

7


Market | Market Rank (a) | Number of Channels | Stations | NetworkAffiliation (b)
Dayton, OH | 64 | 8 | WKEF, WRGT(d) | ABC, FOX, MNT 
Wichita / Hutchinson, KS | 67 | 18 | KSAS, KOCW, KAAS, KAAS-LP, KSAS-LP, KMTW(c) | FOX, MNT 
Des Moines, IA | 68 | 4 | KDSM | FOX 
Green Bay / Appleton, WI | 69 | 7 | WLUK, WCWF | FOX, CW 
Roanoke / Lynchburg, VA | 70 | 4 | WSET | ABC 
Flint / Saginaw / Bay City, MI | 71 | 10 | WSMH, WEYI(d), WBSF(d) | FOX, NBC, CW 
Spokane, WA | 72 | 3 | KLEW | CBS 
Charleston / Huntington, WV | 73 | 7 | WCHS, WVAH(d) | ABC, FOX 
Omaha, NE | 74 | 7 | KPTM, KXVO(c) | FOX, CW, MNT 
Rochester, NY | 76 | 7 | WHAM(d), WUHF | ABC, FOX, CW 
Columbia, SC | 77 | 4 | WACH | FOX 
Toledo, OH | 78 | 4 | WNWO | NBC 
Portland, ME | 79 | 6 | WGME, WPFO(d) | CBS, FOX 
Madison, WI | 81 | 4 | WMSN | FOX 
Paducah, KY/ Cape Girardeau, MO | 82 | 7 | KBSI, WDKA | FOX, MNT 
Harlingen / Weslaco / Brownsville / McAllen, TX | 84 | 3 | KGBT | CBS 
Syracuse, NY | 85 | 7 | WTVH(d), WSTM, WSTQ-LP | CBS, NBC, CW 
Champaign / Springfield / Decatur, IL | 88 | 17 | WICS, WICD, WCCU(d), WRSP(d), WBUI(d) | ABC, FOX, CW 
Chattanooga, TN | 89 | 7 | WTVC, WFLI(d) | ABC, FOX, CW, MNT 
Savannah, GA | 90 | 4 | WTGS | FOX 
Cedar Rapids, IA | 91 | 7 | KGAN, KFXA(d) | CBS, FOX 
Charleston, SC | 92 | 3 | WCIV | ABC, MNT 
El Paso, TX | 93 | 7 | KDBC, KFOX | CBS, FOX 
South Bend-Elkhart, IN | 96 | 2 | WSBT | CBS, FOX 
Tri-Cities, TN-VA | 99 | 5 | WEMT(d), WCYB | FOX, NBC, CW 
Greenville / New Bern / Washington, NC | 100 | 5 | WCTI, WYDO(d) | ABC, FOX 
Myrtle Beach / Florence, SC | 101 | 7 | WPDE, WWMB(c) | ABC, CW 
Boise, ID | 104 | 7 | KBOI, KYUU-LD | CBS, CW Plus 
Reno, NV | 105 | 9 | KRXI, KRNV(d), KAME(c) | FOX, NBC, MNT 
Lincoln and Hasting-Kearney, NE | 106 | 11 | KHGI, KHGI-LD, KWNB, KHGI-CD, KWNB-LD, KFXL | ABC, FOX 
Johnstown / Altoona, PA | 107 | 4 | WJAC | NBC 
Tallahassee, FL | 108 | 7 | WTWC, WTLF(d) | NBC, FOX, CW Plus 
Yakima / Pasco / Richland / Kennewick, WA | 114 | 18 | KIMA, KEPR, KUNW-CD, KVVK-CD, KORX-CD | CBS, CW Plus 
Traverse City / Cadillac, MI | 118 | 12 | WGTU(d), WGTQ(d), WPBN, WTOM, | ABC, NBC 
Eugene, OR | 119 | 18 | KVAL, KCBY, KPIC(e), KMTR(d), KMCB(d), KTCW(d) | NBC, CBS, CW Plus 
Macon, GA | 120 | 3 | WGXA | ABC, FOX 
Peoria / Bloomington, IL | 122 | 3 | WHOI | Comet 
Bakersfield, CA | 126 | 7 | KBAK, KBFX-CD | CBS, FOX 
Corpus Christi, TX | 128 | 5 | KSCC, KTOV-LP, KXPX-LP | FOX, MNT 

8


Market | Market Rank (a) | Number of Channels | Stations | NetworkAffiliation (b)
Amarillo, TX | 131 | 8 | KVII, KVIH | ABC, CW Plus 
